Name,Review,Star,Helpful,Problem
R***i,"Puasss bgttt,dpt kartu gratis lagi🫶🏻🫶🏻",5,0,gada
Dewi,Bagussss next beli disini lagii,5,0,gada
sandra,baguss.. dpt bonus kartu perdana jugaa,5,0,gada
M***n,"barang ok, pengiriman agak lama",4,0,gada
Muhammad,Mantap case nya bagus dapet bonus kuota pula thx min,5,0,gada
s***i,Bagusssssssssssssssss,5,0,gada
H***a,"Ternyata case nya seperti dipotong saja untuk tempat kartu, tp ok lha sangat berguna",5,0,gada
T***a,"Case bagus, tebel. Makasi buat bonusnya",5,0,gada
Melyah,gada,5,0,gada
Fabiano,worth to buy.,5,0,gada
Daffa,bagus dapet perdana pula,5,0,gada
F***a,"bahannya bgs & lembut, pengirimannya cepat banget, murah pula",5,0,gada
Ustajah,"Mantaaaapppzzzz makasih kak,,,",5,0,gada
Ratu,"Respon penjual cepat dan ramah, pengiriman cepat, kualitas produk sesuai, harga sesuai, pacing rapih dan aman",5,0,gada
N***a,Realpict,5,0,gada
Audina,Bagus banget,5,0,gada
Haryono,barang bagus,5,0,gada
Aldi,"Mantapp beli case dapet bonus kartu perdana, terimakasih admin.",5,0,gada
I***l,Murah ga murahan,5,0,gada
c***l,"barang bagus, trs dapet bonus kartu juga ahahah kaget awal bukanya kok ada bonus nu",4,0,gada
S***a,"Cassingnya simpel,ada pocket kartunya juga bagusss,niceee dh pokoknya👍🏻",5,0,gada
f***r,mantapppp,5,0,gada
Reza,gada,5,0,gada
m***m,bagus banget tebel lagi bahannya,5,0,gada
Alwi,Oke,5,0,gada
D***h,langsung dipakai,5,0,gada
e***a,good,5,0,gada
Silvia,gada,5,0,gada
G***s,👍,5,0,gada
K***y,"gokil parah, gw dikasi bonus kartu sim smartfren dengan kuota gratis, makasih banyak bro, sukses terus 👍🏻🙏🏻",5,0,gada
A***a,"udah terpakaii casenya, seperti layaknya clear case tp kirain pocketnya bakal timbul gituu trnyata pocketnya kyk case dikasih lubang aja 😅",5,0,gada
Zhafir,Sesuai deskripsi,5,0,gada
Popo,"OK Punya, pas dan mantap",5,0,gada
Bimo,Bgs bgt ygy,5,0,gada
P***t,bagus barangnyaa sesuai dan pengirimannya cepat,5,0,gada
J***e,ok,5,0,gada
Sangkala,Mantap banget,5,0,gada
I***i,Barang oke bagus. Cuma kecewanya card holdernya nggak ada lapisan lagi langsung kena body handphone. Harus dilapis pake anti gores lagi biar ga lecet hpnya,5,1,gada
Fakhruzi,murah bagus oke,5,0,gada
Sayful,siiiplah barang nya,5,0,gada
R***a,"Bagian dalam casing textured. Slot kartu pas untuk ukuran kartu standar dan foto instax mini. Slot kartu terlalu longgar dan ga terlalu ngepas jadi kartunya ga jatuh2 namun tetap mudah untuk di-slide out kalau mau ngeluarin. Setiap sudut ada semacam shock absorbing bumper gitu yg ga terlalu besar seperti kebanyakan soft case, bikin lebih nyaman digenggam karena tidak mengganjal. Bagian dalam case textured. Karena murah, jangan ekspektasi untuk tahan ga yellowing. Tapi kualitasnya tetap bagus. Pemesanan langsung diproses dan dikirim cepat oleh seller. Case yg dikirim juga sesuai dengan desain dan tipe HP yg dipesan. Thank you!",5,1,gada
Wiki,Berasa hp baru lagi mantep bagus dan murah 🔥🔥,5,0,gada
H,"sangat puas, Brg Cepat dtng",5,0,gada
Gilang,Terima kasih bonusnya kak 👍,5,0,gada
m***m,Bagus clear,5,0,gada
Eka,"Keren, pengiriman juga cepat 2 hari sampai",5,0,gada
Risfiandi,"mungkin kedepannya lebih teliti lagi kak, saya pesen yg iphone 8 dikirim yg 8+",5,0,gada
Ghifari,"sebenernya bagus, sayang aja slot kartunya tembus nyentuh body iphonenya langsung. yang ada malah takut bikin body belakang iphonenya baret. akhirnya ga jadi pake.",5,0,gada
M***d,Packing aman pengiriman cepat ternyata dapet bonus kartu kuota internet juga terimakasih🙏🏻,5,0,gada
s***i,Mantaap + Bonus,5,0,gada
V***n,"Cepet banget ngirimnyaa, manteppp",5,0,gada
Furqon,gada,5,1,gada
I***z,Selalu puas dengan tokped Cepet nyampe,5,0,gada
Nico,Sesuai,5,0,gada
joko,Joss,5,0,gada
s***a,👍🏼✨,5,0,gada
V***s,Mantapppp🔥,5,0,gada
D***n,Mantapppp sukses selalu,5,0,gada
Z***i,Ok,5,0,gada
Danil,dapet free kartu perdana heheh malasih,5,0,gada
Dio,"Keren si, beli case 10.000 dapet bonus kartu perdana juga",5,0,gada
Y***l,barang bagus👍🏼,5,0,gada
Alfonsus,"harganya murah, kualitas nya oke, tapi memang agak tipis 🙂",5,0,gada
Annisa,Realpuc,5,0,gada
Adhi,gada,5,0,gada
Muhammad,Mantapp cepat aman dapat bonus kartunsmart pren jg thank youu,5,0,gada
dimas,excellent services,5,0,gada
Chikal,hehehe gemes bisa buat naro kartu tp tak taro nya pc heheheh thankyouuuu,5,0,gada
M***i,Nankak kanannshsn kdndndms jsnsndhsnd jsnsndj,5,0,gada
F***n,Sesuau ekpektasi,5,0,gada
i***a,thank you kaak,5,0,gada
Gian,oke,5,0,gada
Rivalz,"Pengiriman ngaret sampai komplain dichat, tapi adminnya sabar dan tanggung jawab dengan dikirim bonus juga. Next time perhatikan lagi update pengirimannya. Pelayanan ramah untuk barangnya bagus rekomended. Terimakasih",5,0,gada
Angga,Mantabbbb... recommended seller,5,0,gada
Calvin,"Bagus barang Sesuai Req, Dapet bonus smartfren thank you Seller",5,0,gada
J***n,Kualitasnya bagus 👍👍👍 Nyaman digenggaman!,5,0,gada
Rudy,Salah kirim order iphone xr di kasih samsung,1,0,gada
Sultan,undervalued item!,5,0,gada
a***z,Good,5,0,gada
Alvin,gada,5,0,gada
Toni,Alhamdulillah...mantap boss,5,0,gada
G***a,Bagus,5,0,gada
Ginanjar,"Mantap barangnya sesuai pesanan, pas di hape, dan dpt bonus kartu juga nii mantap sellernya",5,0,gada
IBNU,mantap banget ka,5,0,gada
Sayu,Murah dan bagus,5,0,gada
m***a,Terima kasih banyak juga yang beningnya bagus juga loh ini bagus juga ko,5,0,gada
Gilang,Aman aza,5,0,gada
N***e,Nyampe nya cepet 🏋️‍♂️,5,0,gada
A***y,Bagus walo murah,5,0,gada
Ditya,nice,5,0,gada
R***E,Bagus depat bonus terimkasih,5,0,gada
Fatur,Terimakasih seler ramah banget,5,0,gada
Anang,terimakasih bonus nya,5,0,gada
Mochamad,Puas!,5,0,gada
Agus,Terimakasih atas bonus nya⭐️⭐️⭐️⭐️⭐️😁😁,5,0,gada
A***s,barang sesuai lpengiriman crpat,5,0,gada
j***n,Pengiriman lama…sblm order dtanya dl apa bs dkirim hari yg sm & seller mnjawab bisa..tau nya lusa baru dproses…case nya ga trllu pnting..tp konsisten dlm proses yg sgt mngecewakan.,1,1,gada
Yeni,wahh gilaa cakep parahh bakalannn orderr lagiii 😭🥰❤️ love caseayangan😍,5,0,gada
